City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,zeya,53.75,127.2667,280.75,51,100,3.27,RU,1727583886
334,juneau,58.3019,-134.4197,280.15,97,75,2.06,US,1727583887
335,bonthe,7.5264,-12.505,297.59,89,97,0.43,SL,1727583888
336,kavieng,-2.5744,150.7967,302.3,68,87,2.09,PG,1727583889
337,gaiman,-43.2897,-65.4929,282.26,33,98,5.07,AR,1727583890
338,rafraf,37.1904,10.1837,293.77,58,0,9.6,TN,1727583891
339,cimislia,46.52,28.7842,288.87,98,89,1.01,MD,1727583893
340,nanchang,28.6833,115.8833,305.23,50,4,2.39,CN,1727583894
341,gorontalo,0.5412,123.0595,304.89,62,46,5.35,ID,1727583895
342,qashyr,53.0675,76.1036,286.43,57,99,4.54,KZ,1727583896
343,abra pampa,-22.7205,-65.697,283.13,51,20,4.97,AR,1727583897
344,orangeburg,33.4918,-80.8557,295.83,94,0,0.89,US,1727583898
345,egilsstadir,65.2653,-14.3948,273.1,93,100,4.63,IS,1727583899
346,takhatgarh,25.3333,73.0,303.56,61,18,2.38,IN,1727583902
347,namtsy,62.7161,129.6658,276.43,67,79,4.3,RU,1727583903
348,namibe,-15.1961,12.1522,290.76,86,52,1.8,AO,1727583905
349,polyarnyy,69.1989,33.4478,277.76,84,79,3.77,RU,1727583908
350,ubinskoye,55.3068,79.6802,282.24,48,94,6.97,RU,1727583909
351,vila velha,-20.3297,-40.2925,296.12,86,75,6.17,BR,1727583910
352,glarus,47.0406,9.068,282.28,64,96,1.72,CH,1727583911
353,mabaruma,8.2,-59.7833,296.42,100,61,0.65,GY,1727583912
354,djambala,-2.5447,14.7533,293.03,93,100,1.19,CG,1727583913
355,bardai,11.65,7.2333,294.66,87,100,2.61,NG,1727583915
356,kuandian,40.7286,124.7847,296.25,62,26,3.48,CN,1727583916
357,zanjan,36.6736,48.4787,282.98,43,20,0.0,IR,1727583917
358,oliveira dos brejinhos,-12.3169,-42.8961,296.26,54,65,2.91,BR,1727583918
359,ierapetra,35.01,25.7353,296.99,58,0,1.04,GR,1727583919
360,serhiyivka,46.0272,30.3768,292.66,85,100,1.05,UA,1727583920
361,bel ombre,-4.6167,55.4167,301.06,78,40,4.63,SC,1727583921
